dateFixed,meanTemp,averageRainfall,peakDailyRainfall,meanHumidityDaily
2022-12-01,27.4,11.336842105263159,37.0,81.2
2022-11-01,27.9,12.069230769230769,53.0,79.9
2022-10-01,28.1,10.333333333333334,38.8,78.7
2022-09-01,28.25,8.642857142857142,38.2,76.9
2022-08-01,28.5,9.426666666666668,32.4,77.4
2022-07-01,28.75,9.075,27.8,76.8
2022-06-01,28.200000000000003,12.458823529411765,59.4,79.1
2022-05-01,29.549999999999997,8.5,44.6,76.5
2022-04-01,28.6,13.31111111111111,58.8,80.0
2022-03-01,28.900000000000002,7.7714285714285705,36.2,79.2
2022-02-01,28.0,10.9375,29.6,80.3
2022-01-01,28.25,11.088888888888889,50.0,77.4
2021-12-01,28.4,7.973333333333333,46.8,79.7
2021-11-01,28.3,13.582608695652173,47.8,81.7
2021-10-01,29.0,12.642857142857142,59.6,78.3
2021-09-01,28.65,14.671428571428573,63.4,77.3
2021-08-01,27.9,12.233333333333334,71.4,80.4
2021-07-01,29.0,16.316666666666666,75.0,76.5
2021-06-01,28.85,4.67,23.8,77.8
2021-05-01,29.05,18.907692307692308,49.8,79.3
2021-04-01,28.85,20.74285714285714,83.8,77.4
2021-03-01,28.9,13.028571428571428,38.0,76.6
2021-02-01,28.200000000000003,0.5,0.6,73.8
2021-01-01,26.450000000000003,40.752941176470586,210.6,82.6
2020-12-01,28.0,12.66,58.2,81.1
2020-11-01,28.0,11.610526315789473,64.2,81.7
2020-10-01,28.6,4.925,19.0,75.4
2020-09-01,27.95,8.344444444444443,32.8,79.0
2020-08-01,28.65,8.616666666666667,34.6,76.8
2020-07-01,28.25,6.4,30.4,78.2
2020-06-01,28.25,11.133333333333335,41.0,80.2
2020-05-01,29.150000000000002,15.975,53.8,79.1
2020-04-01,29.5,15.666666666666666,51.8,76.4
2020-03-01,29.4,13.6,47.4,75.2
2020-02-01,28.5,8.125,23.8,76.0
2020-01-01,28.45,14.733333333333334,38.0,77.9
2019-12-01,27.35,30.107142857142858,74.2,83.9
2019-11-01,28.849999999999998,9.16,73.4,79.2
2019-10-01,29.0,11.786666666666667,92.2,78.1
2019-09-01,29.8,5.7,16.4,73.0
2019-08-01,29.900000000000002,1.9666666666666668,3.8,72.1
2019-07-01,29.5,1.525,6.6,75.2
2019-06-01,28.700000000000003,10.8625,37.6,79.5
2019-05-01,29.6,5.3076923076923075,17.2,79.2
2019-04-01,29.3,19.422222222222224,52.4,77.6
2019-03-01,29.55,12.033333333333333,29.0,72.3
2019-02-01,29.099999999999998,6.32,13.4,74.1
2019-01-01,28.65,7.066666666666666,38.2,75.6
2018-12-01,28.450000000000003,9.08421052631579,43.8,81.5
2018-11-01,27.8,6.281481481481482,20.6,83.2
2018-10-01,28.549999999999997,13.022222222222222,60.6,79.7
2018-09-01,28.25,11.107692307692307,45.0,77.1
2018-08-01,28.9,11.054545454545455,34.6,77.0
2018-07-01,28.65,14.319999999999999,32.4,77.7
2018-06-01,28.450000000000003,10.741176470588234,46.8,79.3
2018-05-01,29.299999999999997,6.957894736842104,47.4,79.0
2018-04-01,29.5,4.371428571428572,14.0,78.5
2018-03-01,28.9,4.46,15.2,78.4
2018-02-01,28.0,2.96,13.0,77.2
2018-01-01,26.9,11.48,45.8,86.6
2017-12-01,27.700000000000003,16.139130434782608,69.8,85.2
2017-11-01,27.700000000000003,11.191666666666668,45.2,86.3
2017-10-01,28.450000000000003,6.711111111111111,31.2,82.5
2017-09-01,28.299999999999997,6.5473684210526315,20.2,81.0
2017-08-01,28.45,4.677777777777778,29.4,79.9
2017-07-01,28.5,8.844444444444443,30.2,79.6
2017-06-01,28.75,10.6,29.6,80.2
2017-05-01,28.65,12.666666666666666,44.8,82.8
2017-04-01,28.4,9.933333333333334,42.8,83.5
2017-03-01,28.0,12.381818181818181,30.2,82.5
2017-02-01,27.7,10.56,31.0,83.2
2017-01-01,27.7,9.40952380952381,60.6,84.8
2016-12-01,28.15,12.721739130434784,73.0,72.8
2016-11-01,27.799999999999997,14.51,65.6,77.6
2016-10-01,28.65,11.3125,75.4,72.0
2016-09-01,28.55,7.926666666666667,34.0,73.9
2016-08-01,29.0,9.28,30.6,74.0
2016-07-01,28.75,8.43,59.4,77.3
2016-06-01,28.85,12.523076923076925,67.8,77.7
2016-05-01,29.75,16.150000000000002,54.8,77.4
2016-04-01,30.049999999999997,6.414285714285714,18.2,75.6
2016-03-01,29.85,1.0333333333333334,2.4,74.7
2016-02-01,28.35,18.6,71.8,78.8
2016-01-01,28.9,8.44,39.6,79.6
2015-12-01,28.25,15.894736842105264,40.4,81.1
2015-11-01,28.8,5.584615384615384,25.8,79.1
2015-10-01,29.150000000000002,9.68888888888889,28.6,75.4
2015-09-01,29.1,7.7,18.4,75.0
2015-08-01,28.6,16.89090909090909,63.2,76.7
2015-07-01,29.299999999999997,8.984615384615385,45.8,74.9
2015-06-01,29.3,9.58,28.4,75.8
2015-05-01,29.3,7.416666666666667,22.2,78.9
2015-04-01,29.55,5.630769230769231,18.8,77.1
2015-03-01,29.0,16.880000000000003,46.0,75.8
2015-02-01,27.85,3.1333333333333333,10.8,75.4
2015-01-01,27.65,13.266666666666666,33.6,77.6
2014-12-01,27.65,14.447058823529412,48.2,82.6
2014-11-01,28.200000000000003,10.904347826086957,64.4,82.4
2014-10-01,28.9,12.0,32.8,77.0
2014-09-01,28.75,9.288888888888888,34.6,75.6
2014-08-01,27.799999999999997,12.05,44.2,79.7
2014-07-01,28.700000000000003,9.906666666666666,29.0,78.3
2014-06-01,29.200000000000003,6.490909090909091,18.8,77.5
2014-05-01,28.950000000000003,6.988888888888889,22.4,80.2
2014-04-01,28.95,6.470588235294118,28.8,80.0
2014-03-01,28.95,11.0,52.6,76.0
2014-02-01,28.2,0.2,0.2,74.5
2014-01-01,26.8,15.080000000000002,31.2,78.5
