,dateFixed,delayedDate,no_of_cases,rainfall,temperature,meanTemp,averageRainfall,peakDailyRainfall,meanHumidityDaily
0,2014-02-01,2014-02-01,479,0.0,26.0,28.2,0.2,0.2,74.5
1,2014-03-01,2014-03-01,273,0.0,27.46666666666667,28.95,11.0,52.6,76.0
2,2014-04-01,2014-04-01,224,1.4000000000000001,28.366666666666664,28.95,6.470588235294118,28.8,80.0
3,2014-05-01,2014-05-01,244,1.2,28.399999999999995,28.950000000000003,6.988888888888889,22.4,80.2
4,2014-06-01,2014-06-01,291,8.733333333333333,28.433333333333334,29.200000000000003,6.490909090909091,18.8,77.5
5,2014-07-01,2014-07-01,506,0.0,28.5,28.700000000000003,9.906666666666666,29.0,78.3
6,2014-08-01,2014-08-01,818,2.066666666666667,28.799999999999997,27.799999999999997,12.05,44.2,79.7
7,2014-09-01,2014-09-01,438,0.0,29.3,28.75,9.288888888888888,34.6,75.6
8,2014-10-01,2014-10-01,362,0.0,29.433333333333334,28.9,12.0,32.8,77.0
9,2014-11-01,2014-11-01,278,2.0,28.333333333333332,28.200000000000003,10.904347826086957,64.4,82.4
10,2014-12-01,2014-12-01,158,18.799999999999997,26.5,27.65,14.447058823529412,48.2,82.6
11,2015-01-01,2015-01-01,177,0.3333333333333333,25.900000000000002,27.65,13.266666666666666,33.6,77.6
12,2015-02-01,2015-02-01,237,0.0,26.566666666666666,27.85,3.1333333333333333,10.8,75.4
13,2015-03-01,2015-03-01,99,0.19999999999999998,28.166666666666668,29.0,16.880000000000003,46.0,75.8
14,2015-04-01,2015-04-01,91,12.800000000000002,26.96666666666667,29.55,5.630769230769231,18.8,77.1
15,2015-05-01,2015-05-01,137,0.0,27.96666666666667,29.3,7.416666666666667,22.2,78.9
16,2015-06-01,2015-06-01,109,0.0,29.5,29.3,9.58,28.4,75.8
17,2015-07-01,2015-07-01,207,9.733333333333333,28.5,29.299999999999997,8.984615384615385,45.8,74.9
18,2015-08-01,2015-08-01,263,0.8666666666666667,26.73333333333333,28.6,16.89090909090909,63.2,76.7
19,2015-09-01,2015-09-01,250,0.0,29.333333333333332,29.1,7.7,18.4,75.0
20,2015-10-01,2015-10-01,303,0.0,28.7,29.150000000000002,9.68888888888889,28.6,75.4
21,2015-11-01,2015-11-01,224,1.0,27.5,28.8,5.584615384615384,25.8,79.1
22,2015-12-01,2015-12-01,254,28.46666666666667,26.666666666666668,28.25,15.894736842105264,40.4,81.1
23,2016-01-01,2016-01-01,333,7.933333333333334,26.766666666666666,28.9,8.44,39.6,79.6
24,2016-02-01,2016-02-01,635,0.0,28.833333333333332,28.35,18.6,71.8,78.8
25,2016-03-01,2016-03-01,592,0.0,28.46666666666667,29.85,1.0333333333333334,2.4,74.7
26,2016-04-01,2016-04-01,373,0.06666666666666667,29.599999999999998,30.049999999999997,6.414285714285714,18.2,75.6
27,2016-06-01,2016-06-01,212,8.0,27.8,28.85,12.523076923076925,67.8,77.7
28,2016-08-01,2016-08-01,266,19.333333333333332,27.5,29.0,9.28,30.6,74.0
29,2016-09-01,2016-09-01,221,10.266666666666666,26.96666666666667,28.55,7.926666666666667,34.0,73.9
30,2016-10-01,2016-10-01,174,0.6666666666666666,28.066666666666666,28.65,11.3125,75.4,72.0
31,2016-11-01,2016-11-01,108,24.066666666666666,27.3,27.799999999999997,14.51,65.6,77.6
32,2016-12-01,2016-12-01,72,24.133333333333336,25.76666666666667,28.15,12.721739130434784,73.0,72.8
33,2017-01-01,2017-01-01,72,4.333333333333333,27.066666666666663,27.7,9.40952380952381,60.6,84.8
34,2017-02-01,2017-02-01,74,10.266666666666667,27.0,27.7,10.56,31.0,83.2
35,2017-03-01,2017-03-01,51,27.46666666666667,25.066666666666666,28.0,12.381818181818181,30.2,82.5
36,2017-04-01,2017-04-01,34,2.733333333333333,26.933333333333334,28.4,9.933333333333334,42.8,83.5
37,2017-05-01,2017-05-01,51,0.13333333333333333,29.0,28.65,12.666666666666666,44.8,82.8
38,2017-06-01,2017-06-01,48,6.266666666666667,27.96666666666667,28.75,10.6,29.6,80.2
39,2017-07-01,2017-07-01,79,0.0,29.366666666666664,28.5,8.844444444444443,30.2,79.6
40,2017-08-01,2017-08-01,51,0.6666666666666666,29.5,28.45,4.677777777777778,29.4,79.9
41,2017-09-01,2017-09-01,52,0.13333333333333333,29.233333333333334,28.299999999999997,6.5473684210526315,20.2,81.0
42,2017-10-01,2017-10-01,58,4.466666666666667,27.2,28.450000000000003,6.711111111111111,31.2,82.5
43,2017-11-01,2017-11-01,62,0.7999999999999999,27.566666666666663,27.700000000000003,11.191666666666668,45.2,86.3
44,2017-12-01,2017-12-01,50,0.0,28.46666666666667,27.700000000000003,16.139130434782608,69.8,85.2
45,2018-01-01,2018-01-01,51,32.666666666666664,24.899999999999995,26.9,11.48,45.8,86.6
46,2018-02-01,2018-02-01,68,1.0666666666666667,28.26666666666667,28.0,2.96,13.0,77.2
47,2018-03-01,2018-03-01,50,0.19999999999999998,27.933333333333337,28.9,4.46,15.2,78.4
48,2018-04-01,2018-04-01,37,14.466666666666667,27.8,29.5,4.371428571428572,14.0,78.5
49,2018-05-01,2018-05-01,38,11.066666666666668,27.099999999999998,29.299999999999997,6.957894736842104,47.4,79.0
50,2018-06-01,2018-06-01,62,28.400000000000002,27.899999999999995,28.450000000000003,10.741176470588234,46.8,79.3
51,2018-07-01,2018-07-01,55,6.0,26.900000000000002,28.65,14.319999999999999,32.4,77.7
52,2018-08-01,2018-08-01,44,1.8,26.53333333333333,28.9,11.054545454545455,34.6,77.0
53,2018-09-01,2018-09-01,59,2.1999999999999997,27.733333333333334,28.25,11.107692307692307,45.0,77.1
54,2018-10-01,2018-10-01,49,0.0,29.7,28.549999999999997,13.022222222222222,60.6,79.7
55,2018-11-01,2018-11-01,51,3.466666666666667,26.400000000000002,27.8,6.281481481481482,20.6,83.2
56,2018-12-01,2018-12-01,71,10.733333333333334,26.8,28.450000000000003,9.08421052631579,43.8,81.5
57,2019-01-01,2019-01-01,107,5.333333333333333,28.166666666666668,28.65,7.066666666666666,38.2,75.6
58,2019-02-01,2019-02-01,245,0.0,28.099999999999998,29.099999999999998,6.32,13.4,74.1
59,2019-03-01,2019-03-01,135,0.0,28.5,29.55,12.033333333333333,29.0,72.3
60,2019-04-01,2019-04-01,109,26.666666666666668,27.399999999999995,29.3,19.422222222222224,52.4,77.6
61,2019-05-01,2019-05-01,125,0.0,29.599999999999998,29.6,5.3076923076923075,17.2,79.2
62,2019-06-01,2019-06-01,287,1.2,28.2,28.700000000000003,10.8625,37.6,79.5
63,2019-07-01,2019-07-01,464,0.0,29.53333333333333,29.5,1.525,6.6,75.2
64,2019-08-01,2019-08-01,661,0.0,29.400000000000002,29.900000000000002,1.9666666666666668,3.8,72.1
65,2019-09-01,2019-09-01,522,0.0,29.433333333333337,29.8,5.7,16.4,73.0
66,2019-10-01,2019-10-01,314,1.2666666666666668,27.7,29.0,11.786666666666667,92.2,78.1
67,2019-11-01,2019-11-01,226,18.066666666666666,27.933333333333334,28.849999999999998,9.16,73.4,79.2
68,2020-01-01,2020-01-01,257,0.0,27.866666666666664,28.45,14.733333333333334,38.0,77.9
69,2020-02-01,2020-02-01,342,0.0,28.333333333333332,28.5,8.125,23.8,76.0
70,2020-03-01,2020-03-01,378,0.0,28.26666666666667,29.4,13.6,47.4,75.2
71,2020-04-01,2020-04-01,389,0.0,29.5,29.5,15.666666666666666,51.8,76.4
72,2020-05-01,2020-05-01,341,15.433333333333332,26.900000000000002,29.150000000000002,15.975,53.8,79.1
73,2020-06-01,2020-06-01,524,19.333333333333332,26.933333333333334,28.25,11.133333333333335,41.0,80.2
74,2020-07-01,2020-07-01,1151,0.39999999999999997,29.0,28.25,6.4,30.4,78.2
75,2020-08-01,2020-08-01,1665,0.0,28.666666666666668,28.65,8.616666666666667,34.6,76.8
76,2020-09-01,2020-09-01,1336,0.7333333333333334,28.833333333333332,27.95,8.344444444444443,32.8,79.0
77,2020-10-01,2020-10-01,725,4.0,26.933333333333334,28.6,4.925,19.0,75.4
78,2020-11-01,2020-11-01,591,0.13333333333333333,27.933333333333334,28.0,11.610526315789473,64.2,81.7
